iter 378: loss 2.4127, time 16.65ms, mfu 0.03%
iter 379: loss 2.4369, time 16.62ms, mfu 0.03%
iter 380: loss 2.3974, time 16.38ms, mfu 0.03%
iter 381: loss 2.4268, time 16.41ms, mfu 0.03%
iter 382: loss 2.3496, time 16.66ms, mfu 0.03%
iter 383: loss 2.4074, time 16.70ms, mfu 0.03%
iter 384: loss 2.4141, time 14.60ms, mfu 0.03%
iter 385: loss 2.4111, time 16.25ms, mfu 0.03%
iter 386: loss 2.3832, time 15.91ms, mfu 0.03%
iter 387: loss 2.3561, time 14.47ms, mfu 0.03%
iter 388: loss 2.4363, time 14.70ms, mfu 0.03%
iter 389: loss 2.3169, time 14.09ms, mfu 0.03%
iter 390: loss 2.3601, time 16.66ms, mfu 0.03%
iter 391: loss 2.3892, time 16.55ms, mfu 0.03%
iter 392: loss 2.3584, time 16.90ms, mfu 0.03%
iter 393: loss 2.3892, time 16.69ms, mfu 0.03%
iter 394: loss 2.3566, time 16.53ms, mfu 0.03%
iter 395: loss 2.3201, time 16.60ms, mfu 0.03%
iter 396: loss 2.3111, time 16.82ms, mfu 0.03%
iter 397: loss 2.3989, time 16.42ms, mfu 0.03%
iter 398: loss 2.4467, time 16.34ms, mfu 0.03%
iter 399: loss 2.3689, time 16.27ms, mfu 0.03%
iter 400: loss 2.3495, time 16.84ms, mfu 0.03%
iter 401: loss 2.3355, time 17.00ms, mfu 0.03%
iter 402: loss 2.3891, time 17.19ms, mfu 0.03%
iter 403: loss 2.3982, time 17.47ms, mfu 0.03%
iter 404: loss 2.3065, time 17.63ms, mfu 0.03%
iter 405: loss 2.3802, time 18.97ms, mfu 0.03%
iter 406: loss 2.3934, time 17.79ms, mfu 0.03%
iter 407: loss 2.3453, time 17.40ms, mfu 0.03%
iter 408: loss 2.3622, time 17.52ms, mfu 0.03%
iter 409: loss 2.3115, time 17.08ms, mfu 0.03%
iter 410: loss 2.3556, time 17.04ms, mfu 0.03%
iter 411: loss 2.3504, time 16.87ms, mfu 0.03%
iter 412: loss 2.3596, time 17.34ms, mfu 0.03%
iter 413: loss 2.3777, time 16.66ms, mfu 0.03%
iter 414: loss 2.3185, time 16.43ms, mfu 0.03%
iter 415: loss 2.3146, time 16.65ms, mfu 0.03%
iter 416: loss 2.3009, time 16.97ms, mfu 0.03%
iter 417: loss 2.3655, time 17.13ms, mfu 0.03%
iter 418: loss 2.3327, time 16.34ms, mfu 0.03%
iter 419: loss 2.3076, time 16.58ms, mfu 0.03%
iter 420: loss 2.3894, time 15.46ms, mfu 0.03%
iter 421: loss 2.3518, time 15.25ms, mfu 0.03%
iter 422: loss 2.3854, time 16.02ms, mfu 0.03%
iter 423: loss 2.2458, time 15.73ms, mfu 0.03%
iter 424: loss 2.3583, time 16.63ms, mfu 0.03%
iter 425: loss 2.3458, time 16.29ms, mfu 0.03%
iter 426: loss 2.2622, time 16.90ms, mfu 0.03%
