iter 217: loss 2.5237, time 25.87ms, mfu 0.04%
iter 218: loss 2.4936, time 27.17ms, mfu 0.04%
iter 219: loss 2.4493, time 25.03ms, mfu 0.04%
iter 220: loss 2.5109, time 25.65ms, mfu 0.04%
iter 221: loss 2.5194, time 27.45ms, mfu 0.04%
iter 222: loss 2.4527, time 29.90ms, mfu 0.04%
iter 223: loss 2.3929, time 28.23ms, mfu 0.04%
iter 224: loss 2.5005, time 27.99ms, mfu 0.04%
iter 225: loss 2.4376, time 26.93ms, mfu 0.04%
iter 226: loss 2.5138, time 28.45ms, mfu 0.04%
iter 227: loss 2.5561, time 26.86ms, mfu 0.04%
iter 228: loss 2.4677, time 26.79ms, mfu 0.04%
iter 229: loss 2.3875, time 24.45ms, mfu 0.04%
iter 230: loss 2.4699, time 26.28ms, mfu 0.04%
iter 231: loss 2.4805, time 28.66ms, mfu 0.04%
iter 232: loss 2.5228, time 25.91ms, mfu 0.04%
iter 233: loss 2.3504, time 27.19ms, mfu 0.04%
iter 234: loss 2.5066, time 27.36ms, mfu 0.04%
iter 235: loss 2.4319, time 26.68ms, mfu 0.04%
iter 236: loss 2.4807, time 27.79ms, mfu 0.04%
iter 237: loss 2.4572, time 24.01ms, mfu 0.04%
iter 238: loss 2.4728, time 32.86ms, mfu 0.04%
iter 239: loss 2.4817, time 26.14ms, mfu 0.04%
iter 240: loss 2.4865, time 25.92ms, mfu 0.04%
iter 241: loss 2.4263, time 26.87ms, mfu 0.04%
iter 242: loss 2.5311, time 26.90ms, mfu 0.04%
iter 243: loss 2.4052, time 27.25ms, mfu 0.04%
iter 244: loss 2.4399, time 27.67ms, mfu 0.04%
iter 245: loss 2.4528, time 26.12ms, mfu 0.04%
iter 246: loss 2.4196, time 25.46ms, mfu 0.04%
iter 247: loss 2.4668, time 28.88ms, mfu 0.04%
iter 248: loss 2.4323, time 28.23ms, mfu 0.04%
iter 249: loss 2.4732, time 24.47ms, mfu 0.04%
step 250: train loss 2.4390, val loss 2.4630
saving checkpoint to C:\Users\amitc\OneDrive\Desktop\Research\NanoGpt\nanoGPT\experiments\depth_ablation_4
iter 250: loss 2.4193, time 368.37ms, mfu 0.03%
iter 251: loss 2.4178, time 28.79ms, mfu 0.03%
iter 252: loss 2.4184, time 23.52ms, mfu 0.03%
iter 253: loss 2.4341, time 25.28ms, mfu 0.03%
iter 254: loss 2.5279, time 27.06ms, mfu 0.03%
iter 255: loss 2.3987, time 29.27ms, mfu 0.03%
iter 256: loss 2.4368, time 28.49ms, mfu 0.03%
iter 257: loss 2.5405, time 28.89ms, mfu 0.03%
iter 258: loss 2.4028, time 26.57ms, mfu 0.03%
iter 259: loss 2.4266, time 25.53ms, mfu 0.04%
iter 260: loss 2.4198, time 25.59ms, mfu 0.04%
iter 261: loss 2.3967, time 25.77ms, mfu 0.04%
iter 262: loss 2.3831, time 27.94ms, mfu 0.04%
iter 263: loss 2.3474, time 26.36ms, mfu 0.04%
iter 264: loss 2.3877, time 25.04ms, mfu 0.04%
iter 265: loss 2.4657, time 27.70ms, mfu 0.04%
iter 266: loss 2.4735, time 27.54ms, mfu 0.04%
iter 267: loss 2.5227, time 26.47ms, mfu 0.04%
iter 268: loss 2.3987, time 26.97ms, mfu 0.04%
iter 269: loss 2.2992, time 26.27ms, mfu 0.04%
iter 270: loss 2.4109, time 26.87ms, mfu 0.04%
iter 271: loss 2.4113, time 24.78ms, mfu 0.04%
iter 272: loss 2.4330, time 26.40ms, mfu 0.04%
iter 273: loss 2.4024, time 28.57ms, mfu 0.04%
iter 274: loss 2.4434, time 35.19ms, mfu 0.04%
iter 275: loss 2.3652, time 25.09ms, mfu 0.04%
iter 276: loss 2.5125, time 24.76ms, mfu 0.04%
iter 277: loss 2.5164, time 27.40ms, mfu 0.04%
iter 278: loss 2.4945, time 25.09ms, mfu 0.04%
iter 279: loss 2.4186, time 27.34ms, mfu 0.04%
iter 280: loss 2.4647, time 23.26ms, mfu 0.04%
iter 281: loss 2.4300, time 26.70ms, mfu 0.04%
iter 282: loss 2.4965, time 26.02ms, mfu 0.04%
iter 283: loss 2.4449, time 26.10ms, mfu 0.04%
iter 284: loss 2.4585, time 27.86ms, mfu 0.04%
iter 285: loss 2.4393, time 27.06ms, mfu 0.04%
iter 286: loss 2.4484, time 25.87ms, mfu 0.04%
iter 287: loss 2.4599, time 28.23ms, mfu 0.04%
iter 288: loss 2.3371, time 30.31ms, mfu 0.04%
iter 289: loss 2.4252, time 28.42ms, mfu 0.04%
iter 290: loss 2.4297, time 28.86ms, mfu 0.04%
iter 291: loss 2.3340, time 27.04ms, mfu 0.04%
iter 292: loss 2.3621, time 27.68ms, mfu 0.04%
iter 293: loss 2.5398, time 27.50ms, mfu 0.04%
iter 294: loss 2.4588, time 29.46ms, mfu 0.04%
iter 295: loss 2.4033, time 24.04ms, mfu 0.04%
iter 296: loss 2.3776, time 26.79ms, mfu 0.04%
iter 297: loss 2.4435, time 25.32ms, mfu 0.04%
iter 298: loss 2.4408, time 27.11ms, mfu 0.04%
iter 299: loss 2.4749, time 29.01ms, mfu 0.04%
iter 300: loss 2.4581, time 27.82ms, mfu 0.04%
iter 301: loss 2.3568, time 26.70ms, mfu 0.04%
iter 302: loss 2.4021, time 26.38ms, mfu 0.04%
iter 303: loss 2.3572, time 29.51ms, mfu 0.04%
iter 304: loss 2.4598, time 24.35ms, mfu 0.04%
iter 305: loss 2.4641, time 24.59ms, mfu 0.04%
iter 306: loss 2.3873, time 28.06ms, mfu 0.04%
iter 307: loss 2.4148, time 25.67ms, mfu 0.04%
iter 308: loss 2.4207, time 25.77ms, mfu 0.04%
iter 309: loss 2.4056, time 23.26ms, mfu 0.04%
iter 310: loss 2.4082, time 27.41ms, mfu 0.04%
iter 311: loss 2.4031, time 27.79ms, mfu 0.04%
iter 312: loss 2.3961, time 24.85ms, mfu 0.04%
iter 313: loss 2.4266, time 26.22ms, mfu 0.04%
iter 314: loss 2.3200, time 26.98ms, mfu 0.04%
iter 315: loss 2.4107, time 25.28ms, mfu 0.04%
iter 316: loss 2.3775, time 26.91ms, mfu 0.04%
iter 317: loss 2.3626, time 27.06ms, mfu 0.04%
iter 318: loss 2.4036, time 27.64ms, mfu 0.04%
iter 319: loss 2.3356, time 24.30ms, mfu 0.04%
iter 320: loss 2.3664, time 27.62ms, mfu 0.04%
iter 321: loss 2.3343, time 45.82ms, mfu 0.04%
iter 322: loss 2.4083, time 36.28ms, mfu 0.03%
iter 323: loss 2.3697, time 24.75ms, mfu 0.04%
iter 324: loss 2.4429, time 27.74ms, mfu 0.04%
iter 325: loss 2.4528, time 27.04ms, mfu 0.04%
iter 326: loss 2.3461, time 25.46ms, mfu 0.04%
iter 327: loss 2.4165, time 26.79ms, mfu 0.04%
iter 328: loss 2.3524, time 26.51ms, mfu 0.04%
