iter 256: loss 2.4780, time 18.10ms, mfu 0.03%
iter 257: loss 2.4563, time 18.20ms, mfu 0.03%
iter 258: loss 2.3750, time 18.12ms, mfu 0.03%
iter 259: loss 2.3960, time 19.34ms, mfu 0.03%
iter 260: loss 2.4200, time 18.45ms, mfu 0.03%
iter 261: loss 2.3991, time 18.12ms, mfu 0.03%
iter 262: loss 2.4811, time 18.31ms, mfu 0.03%
iter 263: loss 2.4076, time 17.77ms, mfu 0.03%
iter 264: loss 2.4461, time 18.86ms, mfu 0.03%
iter 265: loss 2.4274, time 18.39ms, mfu 0.03%
iter 266: loss 2.4788, time 18.45ms, mfu 0.03%
iter 267: loss 2.3804, time 16.51ms, mfu 0.03%
iter 268: loss 2.4026, time 19.39ms, mfu 0.03%
iter 269: loss 2.4518, time 17.72ms, mfu 0.03%
iter 270: loss 2.4835, time 19.22ms, mfu 0.03%
iter 271: loss 2.4594, time 20.33ms, mfu 0.03%
iter 272: loss 2.3871, time 18.84ms, mfu 0.03%
iter 273: loss 2.4478, time 18.83ms, mfu 0.03%
iter 274: loss 2.4811, time 17.75ms, mfu 0.03%
iter 275: loss 2.4438, time 18.46ms, mfu 0.03%
iter 276: loss 2.4304, time 17.48ms, mfu 0.03%
iter 277: loss 2.4904, time 17.46ms, mfu 0.03%
iter 278: loss 2.4562, time 15.72ms, mfu 0.03%
iter 279: loss 2.4431, time 19.04ms, mfu 0.03%
iter 280: loss 2.4087, time 16.58ms, mfu 0.03%
iter 281: loss 2.4890, time 19.75ms, mfu 0.03%
iter 282: loss 2.3946, time 19.00ms, mfu 0.03%
iter 283: loss 2.5034, time 17.99ms, mfu 0.03%
iter 284: loss 2.3985, time 17.16ms, mfu 0.03%
iter 285: loss 2.5155, time 18.12ms, mfu 0.03%
iter 286: loss 2.4738, time 18.13ms, mfu 0.03%
iter 287: loss 2.4171, time 18.08ms, mfu 0.03%
iter 288: loss 2.3502, time 19.29ms, mfu 0.03%
iter 289: loss 2.3916, time 17.81ms, mfu 0.03%
iter 290: loss 2.5276, time 19.37ms, mfu 0.03%
iter 291: loss 2.4596, time 17.96ms, mfu 0.03%
iter 292: loss 2.4124, time 18.63ms, mfu 0.03%
iter 293: loss 2.4742, time 18.60ms, mfu 0.03%
iter 294: loss 2.4086, time 18.22ms, mfu 0.03%
iter 295: loss 2.4344, time 19.00ms, mfu 0.03%
iter 296: loss 2.4451, time 18.27ms, mfu 0.03%
iter 297: loss 2.4772, time 19.83ms, mfu 0.03%
iter 298: loss 2.4000, time 18.38ms, mfu 0.03%
iter 299: loss 2.4022, time 18.67ms, mfu 0.03%
iter 300: loss 2.4588, time 18.44ms, mfu 0.03%
iter 301: loss 2.4140, time 18.34ms, mfu 0.03%
iter 302: loss 2.4087, time 18.61ms, mfu 0.03%
iter 303: loss 2.4022, time 18.16ms, mfu 0.03%
iter 304: loss 2.3921, time 18.79ms, mfu 0.03%
iter 305: loss 2.4672, time 17.53ms, mfu 0.03%
iter 306: loss 2.4384, time 18.15ms, mfu 0.03%
iter 307: loss 2.4482, time 18.77ms, mfu 0.03%
iter 308: loss 2.5167, time 19.31ms, mfu 0.03%
iter 309: loss 2.4054, time 19.74ms, mfu 0.03%
iter 310: loss 2.4095, time 18.84ms, mfu 0.03%
iter 311: loss 2.5058, time 20.38ms, mfu 0.03%
iter 312: loss 2.3797, time 17.90ms, mfu 0.03%
iter 313: loss 2.4202, time 17.23ms, mfu 0.03%
iter 314: loss 2.3428, time 17.92ms, mfu 0.03%
iter 315: loss 2.4294, time 17.53ms, mfu 0.03%
iter 316: loss 2.4698, time 18.16ms, mfu 0.03%
iter 317: loss 2.3575, time 19.67ms, mfu 0.03%
iter 318: loss 2.3892, time 18.34ms, mfu 0.03%
iter 319: loss 2.4375, time 18.28ms, mfu 0.03%
iter 320: loss 2.3928, time 19.19ms, mfu 0.03%
